Drug,Dataset,Cohort/window,Evidence role,Independence,N,Responders,Nonresponders,Tissue,Platform,Program,AUC high→response,Direction-free AUC,P value,Responder mean,Nonresponder mean,Direction,Notes,AUC_low95,AUC_high95,AUC_SE_approx,Signed_AUC_minus_0.5,Mean_difference_R_minus_NR
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,Myeloid,0.281733746130031,0.718266253869969,0.026546128535854994,-0.1838097976706498,0.16446139791584452,Low→response,Frozen programs tested without retuning.,0.11432305843753013,0.4491444338225319,0.0854136161696433,-0.218266253869969,-0.34827119558649433
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,Bcell_CXCL13,0.6965944272445821,0.6965944272445821,0.045899656696010115,0.24883373064064435,-0.22264070636268182,High→response,Frozen programs tested without retuning.,0.5220854099440002,0.871103444545164,0.08903521290846016,0.1965944272445821,0.47147443700332614
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,NFkB_inflammatory,0.653250773993808,0.653250773993808,0.12049736300022333,0.12597574248578383,-0.11271513801359623,High→response,Frozen programs tested without retuning.,0.471720324133429,0.8347812238541871,0.09261757645937704,0.15325077399380804,0.23869088049938006
Abatacept,GSE68215,Baseline,Frozen external validation,Independent study,36,17,19,Whole blood,Agilent GPL4133,Costimulation,0.6006191950464396,0.6006191950464396,0.31058216945556716,0.06885295805039739,-0.0616052782556187,High→response,Frozen programs tested without retuning.,0.41313437193355007,0.7881040181593291,0.0956555219963722,0.10061919504643957,0.13045823630601608
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,IFN_response,0.33333333333333337,0.6666666666666666,0.5714285714285714,-0.006921140425774683,0.011535234042958059,Low→response,Not independent; paired longitudinal checkpoint only.,0.0,0.7533678998121376,0.2143033502442879,-0.16666666666666663,-0.01845637446873274
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,Mito_ETC,0.0,1.0,0.03571428571428571,-0.4598951584376513,0.7664919307294187,Low→response,Not independent; paired longitudinal checkpoint only.,0.0,0.0,,-0.5,-1.22638708916707
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,Th1_Tcell,0.6666666666666667,0.6666666666666667,0.5714285714285714,-0.025402346758201317,0.04233724459700214,High→response,Not independent; paired longitudinal checkpoint only.,0.26747340612829135,1.0,0.20367003088692623,0.16666666666666674,-0.06773959135520345
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,Myeloid,0.2666666666666667,0.7333333333333333,0.39285714285714285,-0.07825192005190171,0.1304198667531695,Low→response,Not independent; paired longitudinal checkpoint only.,0.0,0.6615421898159577,0.2014671036475974,-0.23333333333333328,-0.2086717868050712
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,Bcell_CXCL13,0.8666666666666667,0.8666666666666667,0.14285714285714285,0.37461057409654674,-0.6243509568275779,High→response,Not independent; paired longitudinal checkpoint only.,0.6002045752026766,1.0,0.13595004666530106,0.3666666666666667,0.9989615309241247
Abatacept,GSE68215+GSE91079,8-patient paired baseline,Longitudinal overlap checkpoint,Overlapping subset of GSE68215,8,5,3,Whole blood,Agilent GPL4133,NFkB_inflammatory,0.4666666666666667,0.5333333333333333,1.0,-0.13941082525855275,0.2323513754309213,Low→response,Not independent; paired longitudinal checkpoint only.,0.02736047887891785,0.9059728544544154,0.22413581009579023,-0.033333333333333326,-0.3717622006894741
